timestamp_utc,fps,processing_latency_ms,raw_gesture,raw_confidence,debounced_command,emitted_command,routed_command,current_mode
2026-05-28T13:59:06.780+00:00,1.34,15.41,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:06.838+00:00,2.65,15.45,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:06.888+00:00,4.24,14.91,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:06.927+00:00,6.37,14.60,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:06.973+00:00,7.92,16.50,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:07.011+00:00,9.74,14.47,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:07.055+00:00,11.06,14.09,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:07.095+00:00,12.43,14.60,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:07.135+00:00,13.72,14.09,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:07.179+00:00,14.62,14.18,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:07.219+00:00,15.63,14.50,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:07.263+00:00,16.33,14.61,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:07.306+00:00,17.03,17.59,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:07.343+00:00,18.07,14.07,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:07.387+00:00,18.54,14.28,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:07.428+00:00,19.13,14.81,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:07.471+00:00,19.52,14.16,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:07.511+00:00,20.08,14.14,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:07.551+00:00,20.54,14.49,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:07.595+00:00,20.79,14.22,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:07.635+00:00,21.19,14.27,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:07.679+00:00,21.33,14.58,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:07.719+00:00,21.72,14.45,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:07.759+00:00,22.01,14.94,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:07.803+00:00,22.13,14.16,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:07.843+00:00,22.40,14.44,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:07.887+00:00,22.43,14.36,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:07.927+00:00,22.67,14.66,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:07.968+00:00,22.88,14.66,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:08.011+00:00,22.92,14.16,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:08.051+00:00,23.09,14.55,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:08.096+00:00,23.04,14.80,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:08.135+00:00,23.27,14.11,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:08.175+00:00,23.45,14.21,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:08.219+00:00,23.38,14.23,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:08.259+00:00,23.54,14.21,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:08.303+00:00,23.46,14.10,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:08.343+00:00,23.62,14.05,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:08.384+00:00,23.72,14.45,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:08.427+00:00,23.65,14.21,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:08.467+00:00,23.76,14.45,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:08.511+00:00,23.67,14.26,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:08.553+00:00,23.79,14.18,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:08.591+00:00,23.91,14.39,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:08.635+00:00,23.81,14.21,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:08.675+00:00,23.92,14.07,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:08.720+00:00,23.77,14.92,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:08.759+00:00,23.93,14.23,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:08.799+00:00,24.04,14.11,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:08.853+00:00,23.47,24.86,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:08.887+00:00,24.36,15.73,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:08.927+00:00,24.28,14.20,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:08.977+00:00,23.85,24.36,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:09.017+00:00,23.97,24.33,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:09.063+00:00,23.73,26.68,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:09.101+00:00,23.98,24.67,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:09.147+00:00,23.81,25.46,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:09.185+00:00,23.99,24.60,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:09.227+00:00,24.01,25.80,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:09.269+00:00,23.95,24.55,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:09.310+00:00,24.00,25.33,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:09.343+00:00,24.65,14.23,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:09.394+00:00,24.15,25.15,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:09.433+00:00,24.26,24.63,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:09.478+00:00,24.07,25.41,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:09.511+00:00,25.13,14.25,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:09.553+00:00,24.88,14.45,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:09.591+00:00,24.92,14.11,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:09.642+00:00,24.39,24.86,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:09.675+00:00,24.99,14.17,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:59:09.727+00:00,24.40,26.28,Pointing_Up,0.546,,,,Mode 1: X-Z Plane
2026-05-28T13:59:09.760+00:00,25.39,11.62,Pointing_Up,0.744,,,,Mode 1: X-Z Plane
