timestamp_utc,fps,processing_latency_ms,raw_gesture,raw_confidence,debounced_command,emitted_command,routed_command,current_mode
2026-05-28T13:57:25.345+00:00,1.19,15.36,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:57:25.399+00:00,2.92,17.42,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:57:25.443+00:00,4.86,15.64,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:57:25.490+00:00,6.50,14.51,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:57:25.542+00:00,7.79,18.56,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:57:25.600+00:00,8.72,24.82,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:57:25.638+00:00,10.51,14.32,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:57:25.690+00:00,11.38,14.61,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:57:25.738+00:00,12.34,14.07,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:57:25.800+00:00,12.71,24.20,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:57:25.838+00:00,14.06,14.31,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:57:25.890+00:00,14.57,14.45,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:57:25.938+00:00,15.21,14.16,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:57:25.990+00:00,15.61,14.27,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:57:26.038+00:00,16.14,14.12,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:57:26.090+00:00,16.46,14.12,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:57:26.138+00:00,16.88,14.19,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:57:26.200+00:00,16.81,24.08,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:57:26.248+00:00,17.20,24.30,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:57:26.300+00:00,17.40,24.43,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:57:26.338+00:00,18.29,14.50,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:57:26.390+00:00,18.39,14.18,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:57:26.438+00:00,18.62,14.50,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:57:26.490+00:00,18.70,14.13,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:57:26.538+00:00,18.92,14.18,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:57:26.590+00:00,18.94,14.14,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:57:26.648+00:00,18.77,24.41,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T13:57:26.690+00:00,19.28,14.19,,0.000,,,,Mode 1: X-Z Plane
