timestamp_utc,fps,processing_latency_ms,raw_gesture,raw_confidence,debounced_command,emitted_command,routed_command,current_mode
2026-05-28T14:00:30.309+00:00,1.06,30.59,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:30.388+00:00,2.21,30.09,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:30.430+00:00,4.36,33.09,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:30.474+00:00,6.19,26.13,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:30.535+00:00,7.27,25.09,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:30.594+00:00,8.24,27.70,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:30.657+00:00,8.97,32.10,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:30.713+00:00,9.89,27.18,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:30.766+00:00,10.73,25.89,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:30.832+00:00,11.21,30.32,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:30.888+00:00,11.85,30.95,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:30.945+00:00,12.46,26.97,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:31.007+00:00,12.84,32.26,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:31.065+00:00,13.21,32.95,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:31.116+00:00,13.85,27.52,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:31.175+00:00,14.15,27.20,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:31.235+00:00,14.43,26.29,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:31.293+00:00,14.77,26.42,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:31.350+00:00,14.98,25.70,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:31.409+00:00,15.17,28.80,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:31.470+00:00,15.33,28.63,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:31.522+00:00,15.69,25.30,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:31.582+00:00,15.77,25.88,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:31.645+00:00,15.85,26.20,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:31.702+00:00,16.03,26.91,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:31.765+00:00,15.95,32.76,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:31.815+00:00,16.36,26.30,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:31.879+00:00,16.35,28.13,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:31.933+00:00,16.55,26.39,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:31.997+00:00,16.40,33.11,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:32.053+00:00,16.64,30.11,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:32.112+00:00,16.59,32.31,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:32.167+00:00,16.78,26.42,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:32.227+00:00,16.76,30.67,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:32.282+00:00,16.91,25.47,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:32.339+00:00,16.98,26.18,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:32.398+00:00,16.96,25.67,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:32.454+00:00,17.05,25.84,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:32.514+00:00,17.00,25.88,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:32.578+00:00,16.87,33.79,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:32.631+00:00,17.06,26.98,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:32.692+00:00,17.01,27.52,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:32.749+00:00,17.11,27.11,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:32.807+00:00,17.07,27.09,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:32.871+00:00,16.99,32.25,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:32.925+00:00,17.13,26.57,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:32.984+00:00,17.11,29.70,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:33.045+00:00,17.05,30.51,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:33.105+00:00,17.02,29.87,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:33.163+00:00,17.02,32.73,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:33.220+00:00,17.08,29.53,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:33.273+00:00,17.16,29.39,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:33.332+00:00,17.16,27.56,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:33.380+00:00,17.52,19.83,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:33.443+00:00,17.41,20.89,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:33.497+00:00,17.53,18.56,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:33.554+00:00,17.53,15.53,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:33.614+00:00,17.45,15.26,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:33.674+00:00,17.30,22.15,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:33.731+00:00,17.33,18.89,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:33.787+00:00,17.48,16.12,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:33.845+00:00,17.38,16.60,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:33.900+00:00,17.44,16.12,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:33.962+00:00,17.33,17.60,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:34.023+00:00,17.29,20.68,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:34.078+00:00,17.39,15.35,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:34.138+00:00,17.32,14.91,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:34.193+00:00,17.37,15.23,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:34.258+00:00,17.18,19.84,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:34.312+00:00,17.30,18.39,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:34.375+00:00,17.18,20.48,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:34.425+00:00,17.44,14.93,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:34.486+00:00,17.31,16.28,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:34.544+00:00,17.29,15.43,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:34.603+00:00,17.25,18.72,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:34.660+00:00,17.27,16.02,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:34.716+00:00,17.33,15.98,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:34.775+00:00,17.29,15.01,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:34.833+00:00,17.29,16.69,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:34.891+00:00,17.27,15.38,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:34.948+00:00,17.32,15.61,,0.000,,,,Mode 1: X-Z Plane
2026-05-28T14:00:35.009+00:00,17.27,15.00,,0.000,,,,Mode 1: X-Z Plane
